Theme,RAG Avg Distance (PCA),CARAG Avg Distance (PCA),CARAG_U Avg Distance (PCA),Difference (PCA - CARAG),Difference (PCA - CARAG_U),RAG Avg Distance (t-SNE),CARAG Avg Distance (t-SNE),CARAG_U Avg Distance (t-SNE),Difference (t-SNE - CARAG),Difference (t-SNE - CARAG_U),Better Alignment (PCA),Better Alignment (t-SNE)
Climate,0.2504501147896804,0.23338078824833097,0.16841819507761255,-0.017069326541349406,-0.08203191971206783,15.07115482940381,14.973903799861663,14.892386748786375,-0.09725102954214648,-0.17876808061743432,CARAG_U,CARAG_U
Covid,0.2998470858109695,0.24478954955911525,0.34101668175235217,-0.05505753625185428,0.04116959594138264,12.880056159626665,12.766058977207381,12.82843597008819,-0.11399718241928447,-0.05162018953847536,CARAG,CARAG
Electric_Vehicles,0.3189623202071277,0.21345475361162514,0.2243370360111875,-0.10550756659550259,-0.09462528419594021,34.34285003297525,34.171274134699686,34.18259691927272,-0.17157589827556308,-0.16025311370253092,CARAG,CARAG
Overall Average,0.2897531736025925,0.23054169713969044,0.24459063761371738,-0.05921147646290209,-0.04516253598887513,20.76468700733524,20.637078970589577,20.63447321271576,-0.12760803674566468,-0.1302137946194802,,
