Theme,RAG Avg Distance (PCA),CARAG Avg Distance (PCA),Difference (PCA),RAG Avg Distance (t-SNE),CARAG Avg Distance (t-SNE),Difference (t-SNE),Better Alignment (PCA),Better Alignment (t-SNE)
Climate,0.20562390598476687,0.2093676680365782,0.003743762051811317,37.4171052170229,37.30711995978681,-0.1099852572360902,RAG,CARAG
Covid,0.2731959418166581,0.21202026652356348,-0.061175675293094645,31.67180356756557,31.55783975573028,-0.11396381183528703,CARAG,CARAG
Electric_Vehicles,0.2881032910088185,0.18575681794189383,-0.10234647306692465,76.46606046495982,76.2973453939077,-0.16871507105211947,CARAG,CARAG
