Theme,Point Index,RAG Distance (PCA),CARAG Distance (PCA),Difference (PCA),RAG Distance (t-SNE),CARAG Distance (t-SNE),Difference (t-SNE)
Covid,0,0.11345714874410848,0.22659562599794972,0.11313847725384124,31.58509192586236,31.560872596688103,-0.024219329174258064
Covid,1,0.14230265126256833,0.2506375990012875,0.10833494773871918,31.412050680113527,31.46648527711502,0.054434597001492335
Covid,2,0.29988030674726973,0.27193216617672206,-0.027948140570547675,31.441920192701737,31.44444881450619,0.0025286218044513475
Covid,3,0.19133209696798023,0.199611475010498,0.008279378042517771,31.415822061067356,31.40306642512012,-0.012755635947236499
Covid,4,0.06439609771493439,0.13539963908281755,0.07100354136788316,31.543980689003245,31.449215955111164,-0.09476473389208095
Covid,5,0.1777763368781845,0.17337377659173459,-0.004402560286449919,31.47118473186845,31.4843621176727,0.013177385804247876
Covid,6,0.18108958037231215,0.17696433151713728,-0.004125248855174873,31.687819306330404,31.555835668089617,-0.1319836382407864
Covid,7,0.6404670251335373,0.16870116980248573,-0.47176585533105153,32.15982799798123,31.68949308560903,-0.47033491237220204
Covid,8,0.3687448647404985,0.19940464537017957,-0.16934021937031893,31.901132937342037,31.724237264169847,-0.17689567317219002
Covid,9,0.5523669063536036,0.31772858150668204,-0.2346383248469216,32.09922436410208,31.800495693041878,-0.29872867106019996
